locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY,D_mlhka
Locus_8282_,6,299.6190476,0.013155391,9,3.941605722,15,0.012015257,0.012112542,0.05785124,0.060204227,201.952381,0.049516623,0.051226929,-0.516192055,#N/A,#N/A,1002.380952,0.00218458,5,2.18978138,7,0.001928741,0.001931225,0.008147268,0.008191844,-0.655431697,3.941605722,0.01277,0,0.02053,0.00247,0.44484,0.01083,0.02796,0.1864,7.8259,0.1942,0.6462,0.1609,0.0657,0.2033,YES,YES,133.2825371
Locus_8318_,6,140.2619048,0.009367252,3,1.313868608,2,0.008555424,0.008604595,0.019012052,0.019257176,93.95238095,0.01064369,0.010719937,-0.447361477,#N/A,#N/A,459.7380952,0.000952621,1,0.437956164,3,0.001160081,0.001160979,0.007250505,0.007285779,0.850567552,1.313868608,0,0.00001,0.02153,0.02168,0.24326,#N/A,#N/A,999,0.0001,0.274,0.3629,0.1181,#N/A,#N/A,NO,NO,34.12011096
Locus_8332_,6,264.8571429,0.006614225,4,1.751824736,5,0.00503416,0.005051132,0.021395182,0.021706282,177.3809524,0.005637584,0.005658879,-1.295030853,#N/A,#N/A,884.1428571,0.001486037,3,1.313868999,6,0.001432649,0.001434019,0.007728766,0.007768864,-0.185444715,1.751824736,0,0,0,0.0028,0.20513,0.00444,0.00946,999,999,999,1.9031,0.3834,0.3006,0.2751,YES,YES,54.33014572
Locus_8416_,6,462.1428571,0.000947664,1,0.437956149,3,0.000721278,0.000721625,0.006852138,0.006883631,298.6666667,0.003348214,0.00335571,-0.933020529,#N/A,#N/A,1520.857143,0.0008639,3,1.313868486,5,0.000657524,0.000657812,0.003616382,0.003625129,-1.233111763,0.437956149,0.00328,0,0.00157,0,0.16486,#N/A,0.00157,0.1532,999,0.3201,999,0.1363,#N/A,1.4455,NO,YES,76.18887142
Locus_851_,6,475.952381,0.007361345,8,3.50364968,2,0.006023012,0.006047326,0.007353677,0.007389965,323.1904762,0.003094151,0.003100551,-1.07180254,#N/A,#N/A,1486.047619,0.000589424,2,0.875912132,1,0.000583202,0.000583429,0.001009389,0.001010069,-0.050017378,3.50364968,0.00001,0.00186,0,0.00186,0.27008,#N/A,0.0056,0.0001,0.0001,999,0.6535,0.1889,#N/A,0.5441,NO,YES,128.5452191
Locus_8682_,6,750.3571429,0.005836637,10,4.379562263,0,0.006308107,0.006334785,0.00377598,0.003785517,504.2857143,0,0,0.485153639,#N/A,#N/A,2546.642857,0.001547765,9,3.941604682,0,0.001570695,0.001572342,0.000916239,0.000916799,0.088237958,4.379562263,0.00001,0.00134,0.00308,0.00309,0.22329,#N/A,0.00309,0.0001,1.9421,0.0001,1.1607,0.2532,#N/A,0.5793,NO,YES,167.5472464
Locus_8863_,6,362.9285714,0.004826913,4,1.751824639,3,0.00422489,0.004236835,0.010562225,0.010637305,233.5714286,0.008562691,0.008611946,-0.676126573,#N/A,#N/A,1203.071429,0.001456127,4,1.751824791,1,0.001274516,0.0012756,0.001523877,0.001525428,-0.676126573,1.751824639,0.00001,0.0062,0.00632,0.00616,0.17104,0.00278,0.00662,0.0001,0.0001,0.0001,0.3026,0.145,0.0001,0.1406,YES,YES,62.07530285
Locus_9219_,6,215.3095238,0,0,0,10,0,0,0.046444764,0.047945113,133.6666667,0.02244389,0.022786563,#N/A,#N/A,#N/A,765.6904762,0,0,0,2,0,0,0.002612022,0.002616581,#N/A,0,0.01617,0.00987,0.00958,0.00659,0.20775,0.0091,0.01365,0.0523,0.2575,0.0001,0.5122,0.087,0.0001,0.1237,YES,YES,44.73055357
Locus_9285_,6,450.6190476,0.002915697,3,1.313868605,38,0.002219169,0.002222459,0.085438022,0.090708797,260.3333333,0.069142125,0.072539717,-1.233111763,#N/A,#N/A,1637.380952,0.001069894,4,1.751824056,17,0.000814309,0.000814751,0.011196743,0.011281162,-1.295030853,1.313868605,0.00293,0.00595,0.00185,0.01148,0.15985,0.03322,0.04865,0.2303,0.276,1.1179,0.3468,0.1211,0.1402,0.135,YES,YES,72.03145476
Locus_9359_,6,70.97619048,0.018511399,3,1.313868581,5,0.016907078,0.017100558,0.07983898,0.084416396,41.80952381,0.071753986,0.075422349,-0.447361477,#N/A,#N/A,268.0238095,0.00326804,2,0.87591253,2,0.003233544,0.003240534,0.00932753,0.009386017,-0.050017378,1.313868581,0,0.00001,0.01364,0.00001,0.5268,#N/A,0.05615,999,0.0001,0.0001,0.0001,0.3136,#N/A,0.0001,NO,YES,37.39025714
Locus_9404_,6,153.1666667,0.002859344,1,0.437956189,1,0.002176279,0.002179442,0.007616975,0.007655918,93.33333333,0,0,-0.933020529,#N/A,#N/A,515.8333333,0,0,0,1,0,0,0.001938611,0.00194112,#N/A,0.437956189,0.00357,0,0.00358,0.0036,0.12284,0,0.00721,0.0001,0.0001,0.0001,0.7343,0.3741,999,0.1826,YES,YES,18.81499334
Locus_9508_,6,218.6904762,0.006007891,3,1.313868544,3,0.004572673,0.004586669,0.016004355,0.016177583,154.6666667,0.019396552,0.019651779,-1.233111763,#N/A,#N/A,660.3095238,0,0,0,1,0,0,0.001514441,0.001515972,#N/A,1.313868544,0.00001,0.00001,0,0.00775,0.64576,#N/A,0.01554,0.0001,0.0001,5.3305,0.0001,0.2859,#N/A,0.0001,NO,YES,141.2215619
Locus_9553_,6,74.11904762,0,0,0,2,0,0,0.026983617,0.027480994,50.80952381,0.039362699,0.040433274,#N/A,#N/A,#N/A,225.8809524,0,0,0,7,0,0,0.030989775,0.031648221,#N/A,0,0.00001,0.00001,0,0.00837,0.46193,0,0.01689,0.0001,0.0001,999,0.5222,0.4476,999,1.1731,YES,YES,34.23781167
Locus_9598_,6,287.7380952,0.003044131,2,0.875912455,6,0.002316922,0.002320508,0.022010757,0.022340201,178.6666667,0.016791045,0.016981858,-1.131972245,#N/A,#N/A,978.2619048,0.000447688,1,0.437956116,8,0.000545185,0.000545383,0.00851851,0.008567256,0.850567552,0.875912455,0,0.00777,0.0026,0.01567,0.24453,0.01014,0.00551,999,0.7063,0.0001,0.3502,0.1851,0.0001,0.3332,YES,YES,70.36059642
